No.,Description,SR,Size,Colour,Quantity,Measure,Price,Disc. %,Amount
B4390127,SMU SHIRT LM,K1,164,672 VITESSE 22/,15,Stück,11,57,,173,55
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,U1,S,672 VITESSE 22/,25,Stück,13,28,,332,00
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,U1,M,672 VITESSE 22/,25,Stück,13,28,,332,00
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,U1,L,672 VITESSE 22/,33,Stück,13,28,,438,24
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,U1,XL,672 VITESSE 22/,7,Stück,13,28,,92,96
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,K1,128,672 VITESSE 22/,30,Stück,11,57,,347,10
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,K1,140,672 VITESSE 22/,70,Stück,11,57,,809,90
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,K1,152,672 VITESSE 22/,130,Stück,11,57,,1.504,10
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,K1,164,672 VITESSE 22/,95,Stück,11,57,,1.099,15
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
B4390127,SMU SHIRT LM,U1,S,672 VITESSE 22/,95,Stück,13,28,,1.261,60
,,,,BLUE BLACK,,,,,
,,,,SENIOREN WEEL,,,,,
