No. Description SR Size Colour,Quantity Measure,,Price Disc. %,Amount
B4390127 SMU SHIRT LM K1 164 672 VITESSE 22/,15 Stück,,11.57,173.55
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM U1 S 672 VITESSE 22/,25 Stück,,13.28,332.00
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM U1 M 672 VITESSE 22/,25 Stück,,13.28,332.00
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM U1 L 672 VITESSE 22/,33 Stück,,13.28,438.24
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM U1 XL 672 VITESSE 22/,7 Stück,,13.28,92.96
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM K1 128 672 VITESSE 22/,30 Stück,,11.57,347.10
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM K1 140 672 VITESSE 22/,70 Stück,,11.57,809.90
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM K1 152 672 VITESSE 22/,130 Stück,,11.57,1.504.10
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM K1 164 672 VITESSE 22/,95 Stück,,11.57,1.099.15
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM U1 S 672 VITESSE 22/,95 Stück,,13.28,1.261.60
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM U1 M 672 VITESSE 22/,85 Stück,,13.28,1.128.80
BLUE BLACK,,,,
SENIOREN WEEL,,,,
B4390127 SMU SHIRT LM U1 L 672 VITESSE 22/,65 Stück,,13.28,863.20
BLUE BLACK,,,,
SENIOREN WEEL,,,,
JAKO AG | Amtstraße 82 | 74673 Mulfingen | Germany | Tel. +49 7938 9063-0 | Fax +49 7938 9063-115 |  info@jako.com | www.jako.com,,,,
Managing Directors: Nadine Sprügel (chairperson). Comm. reg.: HRB 590730 | District court: Stuttgart/DE,Bank: BW-Bank,,,
Yvonne Sprügel. Markus Frank. Tobias Röschl Tax No.: 76003/05583 | VAT No.: DE 146 278 781,IBAN: DE74 6005 0101 7830 5010 40,,,

No. Description,SR Size,,Colour,,Quantity,Measure Price,Disc. %,,Amount
B4390127 SMU SHIRT LM,U1 XL,,672 VITESSE 22/,,10,Stück 13.28,,,132.80
,,,BLUE BLACK,,,,,,
,,,SENIOREN WEEL,,,,,,
B4390127 SMU SHIRT LM,U1 XXL,,672 VITESSE 22/,,10,Stück 13.28,,,132.80
,,,BLUE BLACK,,,,,,
,,,SENIOREN WEEL,,,,,,
B8920035 VITESSE 22,U1 S,,668 VITESSE 22 -,,2,Stück 18.80,,,37.60
,,,CITRO WEEL,,,,,,
B8920035 VITESSE 22,U1 M,,668 VITESSE 22 -,,3,Stück 18.80,,,56.40
,,,CITRO WEEL,,,,,,
B8920035 VITESSE 22,U1 L,,668 VITESSE 22 -,,2,Stück 18.80,,,37.60
,,,CITRO WEEL,,,,,,
B8920035 VITESSE 22,U1 XL,,668 VITESSE 22 -,,1,Stück 18.80,,,18.80
,,,CITRO WEEL,,,,,,
B8920035 VITESSE 22,U1 M,,669 VITESSE 22 -,,1,Stück 18.80,,,18.80
,,,RED WEEL,,,,,,
B8920035 VITESSE 22,U1 L,,669 VITESSE 22 -,,1,Stück 18.80,,,18.80
,,,RED WEEL,,,,,,
,,,,,,Total EUR,705,,8.836.20

